log2_plaintexts,plaintexts,pairs,trials,top_included,top_rate,top_ci_low,top_ci_high,unique_top,unique_top_rate,unique_ci_low,unique_ci_high,random_tiebreak_rate,mean_rank,mean_correct_abs_corr,mean_correct_signed_corr,mean_best_wrong_abs_corr,seed_a_top_rate,seed_b_top_rate
10,1024,512,20000,7653,0.38265,0.3759371817639748,0.3894078890983929,6978,0.3489,0.3423240608974667,0.3555339723986881,0.36535,2.1606,0.04824609375,0.0196109375,0.0599775390625,0.3823,0.383
12,4096,2048,20000,8470,0.4235,0.41666740028430177,0.43036198123228225,8185,0.40925,0.4024536329698201,0.41608122157436284,0.4163,2.0747000000000004,0.028182861328499995,0.0197623535155,0.0315155273435,0.4202,0.4268
14,16384,8192,20000,10998,0.5499,0.5429961491907362,0.5567846856108647,10865,0.54325,0.5363388060912463,0.5501445827899006,0.5465666666500001,1.76885,0.020827673340000002,0.0196428100585,0.018376855468500004,0.5492,0.5506
16,65536,32768,20000,14545,0.72725,0.7210343516676432,0.7333783679448571,14498,0.7249,0.7186682980490724,0.7310453241328918,0.726075,1.337,0.019622994995,0.0195920196535,0.014052194213999999,0.727,0.7275
18,262144,131072,20000,17277,0.86385,0.8590271441028537,0.8685331112591189,17261,0.86305,0.8582155668109196,0.8677449958087428,0.86345,1.13655,0.0196233428955,0.0196233428955,0.013515195465,0.8619,0.8658
20,1048576,524288,20000,18824,0.9412,0.9378541472755468,0.9443764001085464,18824,0.9412,0.9378541472755468,0.9443764001085464,0.9412,1.0588,0.019654084587,0.019654084587,0.0135120868685,0.9443,0.9381
21,2097152,1048576,10000,9601,0.9601,0.9560838665632115,0.9637627781360917,9601,0.9601,0.9560838665632115,0.9637627781360917,0.9601,1.0399,0.0196620185855,0.0196620185855,0.013509419632000001,0.9588,0.9614
