label,keys,sample_log2,total_log2,mean_abs,mean_unbiased_sq,sq_se,ci_low,ci_high,rms,rms_ci_low,rms_ci_high,p_signal_one_sided,holm_p_two_targets,claimed_corr,claimed_sq,claim_above_estimate_se
Simeck-48 14-round seed A,64,26,32.0,0.00012580817565,1.240359418408703e-08,5.292834367145273e-09,1.8267086833735226e-09,2.2980479684800537e-08,0.00011137142445,4.274001267399815e-05,0.0001515931386468416,0.011137292633191725,,,,
Simeck-48 14-round seed B,64,26,32.0,0.00012550409883,1.0842509246551562e-08,4.11348462997396e-09,2.622366139438669e-09,1.9062652353664454e-08,0.0001041273703,5.1209043531769556e-05,0.00013806756445184528,0.005276833456135407,,,,
Simeck-48 17-round seed A,64,25,31.0,0.0001414148137,-1.007662927636672e-09,4.626601568303564e-09,-1.0253188415667727e-08,8.237862560394384e-09,0.0,0.0,9.076267162437642e-05,0.5858546609254036,,,,
Simeck-48 17-round seed B,64,26,32.0,0.00010146573186,8.634135197359354e-11,2.314351817543378e-09,-4.538521714679903e-09,4.7112044186270906e-09,9.2920047365e-06,0.0,6.863821398191456e-05,0.4851791237221676,,,,
Simeck-48 14-round pooled,128,,,,1.1623051715319295e-08,3.339169903537997e-09,5.015437080506462e-09,1.823066635013213e-08,0.00010781025793179096,7.081975063855041e-05,0.00013502098485099318,0.00034289872079709915,0.0006857974415941983,0.0002054678086420192,4.2217020388153424e-08,9.162147945936645
Simeck-48 17-round inverse-variance pooled,128,,,,-1.3261856839474096e-10,2.0698310780742002e-09,-4.189412935501886e-09,3.924175798712404e-09,0.0,0.0,6.264324224297785e-05,0.5255436192285078,0.5255436192285078,0.00020107202570009117,4.0429959519138125e-08,19.597047564515677
